Crop year,,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
Guatemala,(A/R),300,300,300,310,310,310,300,300,300,300,300,300,300,300,300,300,300,300,335,320,340,350,360,370,380,390,390,395,395,393
Guinea,(R),25,25,63,33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Guyana,(R),0,0,0,0,0,0,0,0,5,4,2,4,4,5,6,6,6,7,8,8,9,9,9,9,9,9,9,9,9,9
Honduras,(A),188,257,240,230,253,161,168,161,138,168,230,200,200,200,230,230,230,245,268,307,335,340,345,350,355,365,370,375,375,350
India,(R/A),903,917,917,833,835,837,838,839,900,925,975,"1,067","1,133","1,167","1,202","1,238","1,275","1,350","1,275","1,325","1,325","1,325","1,375","1,400","1,430","1,450","1,440","1,470","1,475","1,450"
Jamaica,(A),7,11,6,10,15,15,18,20,15,11,12,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Kenya,(A),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,55,55,60,60,65,70,72
Lao People's Democratic Republic,(R),0,0,0,0,0,0,0,0,0,0,0,0,158,103,135,140,140,140,150,150,150,150,150,150,150,150,150,155,155,157
Liberia,(R),3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mexico,(A/R),"1,374","1,200","1,300","1,070","1,020","1,179","1,235","1,201","1,108","1,150","1,305","1,500","1,500","1,500","1,500","1,725","2,000","2,200","2,200","2,200","2,354","2,354","2,354","2,321","2,347","2,329","2,360","2,400","2,450","2,425"
Nepal,(A),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,(A),34,138,66,109,90,112,95,123,127,130,175,177,180,182,184,187,189,192,194,197,203,205,208,210,212,214,217,218,220,210
Nigeria,(R),28,36,36,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Panama,(A),63,67,67,67,77,77,77,81,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
Sierra Leone,(R),9,9,9,5,5,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sri Lanka,(R/A),67,67,28,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30,35,35,35,35,35,35,35,35,35,35
Thailand,(R/A),188,220,233,250,283,417,333,390,433,433,500,500,500,500,500,500,500,550,600,700,775,"1,100","1,130","1,200","1,250","1,300","1,350","1,375","1,400","1,400"
Togo,(R),1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
Trinidad & Tobago,(R),8,12,10,10,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,10,10,10,10,10,10,10,10,10,10
Uganda,(R/A),70,75,75,75,80,80,80,101,116,119,142,141,140,131,140,150,175,180,185,189,204,210,216,221,229,234,240,245,250,254
Venezuela,(A),782,815,850,886,923,962,"1,003","1,046","1,090","1,136","1,184","1,234","1,286","1,341","1,397","1,457","1,518","1,582","1,649","1,650","1,650","1,650","1,650","1,650","1,650","1,650","1,650","1,600","1,550","1,275"
Viet Nam,(R/A),150,230,250,267,267,282,298,314,332,350,402,461,519,607,696,800,917,938,"1,021","1,208","1,583","1,650","1,825","2,000","2,200","2,300","2,400","2,500","2,600","2,650"
Yemen,(A),0,0,0,0,0,0,0,0,0,0,0,0,0,146,136,138,138,130,130,130,130,130,130,130,125,115,100,90,65,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,"19,509","20,228","20,951","21,098","21,360","22,603","23,513","24,271","25,117","25,741","27,068","28,309","28,752","29,833","31,413","33,143","34,974","36,911","38,403","39,699","41,646","43,192","44,653","45,324","46,474","47,349","48,334","49,686","50,245","49,982"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
